Date : 2025-12-05 17:00:48
Directory : d:\GITHUB - YULEISY\MatriTrack-Obstetricia
Total : 273 files,  38528 codes, 1046 comments, 2922 blanks, all 42496 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         12 |     19,722 |          2 |         12 |     19,736 |
| TypeScript         |        201 |     10,108 |        681 |      1,847 |     12,636 |
| HTML               |         29 |      4,350 |        109 |        300 |      4,759 |
| PostCSS            |         26 |      3,941 |        190 |        669 |      4,800 |
| MS SQL             |          1 |        247 |         60 |         40 |        347 |
| Markdown           |          2 |        104 |          2 |         53 |        159 |
| JSON with Comments |          2 |         56 |          2 |          1 |         59 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        273 |     38,528 |      1,046 |      2,922 |     42,496 |
| . (Files)                                                                                                                                                                      |          2 |        253 |         60 |         41 |        354 |
| backend                                                                                                                                                                        |        115 |     14,521 |        325 |        873 |     15,719 |
| backend (Files)                                                                                                                                                                |          7 |      9,725 |          2 |         34 |      9,761 |
| backend\src                                                                                                                                                                    |        106 |      4,766 |        323 |        833 |      5,922 |
| backend\src (Files)                                                                                                                                                            |          5 |        131 |          8 |         25 |        164 |
| backend\src\auth                                                                                                                                                               |          8 |        106 |          1 |         26 |        133 |
| backend\src\auth (Files)                                                                                                                                                       |          4 |         64 |          1 |         13 |         78 |
| backend\src\auth\decorators                                                                                                                                                    |          2 |         10 |          0 |          4 |         14 |
| backend\src\auth\guards                                                                                                                                                        |          2 |         32 |          0 |          9 |         41 |
| backend\src\enums                                                                                                                                                              |          7 |         37 |          1 |          7 |         45 |
| backend\src\modules                                                                                                                                                            |         86 |      4,492 |        313 |        775 |      5,580 |
| backend\src\modules\analisis                                                                                                                                                   |         11 |        382 |          9 |         54 |        445 |
| backend\src\modules\analisis (Files)                                                                                                                                           |          5 |        257 |          4 |         29 |        290 |
| backend\src\modules\analisis\dto                                                                                                                                               |          4 |         74 |          3 |         16 |         93 |
| backend\src\modules\analisis\mapper                                                                                                                                            |          1 |         32 |          0 |          5 |         37 |
| backend\src\modules\analisis\model                                                                                                                                             |          1 |         19 |          2 |          4 |         25 |
| backend\src\modules\control-diagnostico                                                                                                                                        |          8 |        472 |         58 |         96 |        626 |
| backend\src\modules\control-diagnostico (Files)                                                                                                                                |          3 |        241 |         23 |         37 |        301 |
| backend\src\modules\control-diagnostico\Dto                                                                                                                                    |          3 |        123 |         12 |         24 |        159 |
| backend\src\modules\control-diagnostico\mapper                                                                                                                                 |          1 |         55 |         16 |         18 |         89 |
| backend\src\modules\control-diagnostico\model                                                                                                                                  |          1 |         53 |          7 |         17 |         77 |
| backend\src\modules\control-puerperio                                                                                                                                          |          8 |        482 |         37 |         80 |        599 |
| backend\src\modules\control-puerperio (Files)                                                                                                                                  |          3 |        235 |         21 |         30 |        286 |
| backend\src\modules\control-puerperio\dto                                                                                                                                      |          3 |        144 |          6 |         28 |        178 |
| backend\src\modules\control-puerperio\mapper                                                                                                                                   |          1 |         48 |          1 |          3 |         52 |
| backend\src\modules\control-puerperio\model                                                                                                                                    |          1 |         55 |          9 |         19 |         83 |
| backend\src\modules\historial-medico                                                                                                                                           |         11 |        325 |          8 |         61 |        394 |
